,연도,지역,산업용
0,2015,35,14141306
1,2016,35,14521517
2,2017,35,14466179
3,2018,35,14258176
4,2019,35,13729412
5,2020,35,11904066
6,2021,35,12669411
7,2022,35,12810244
8,2015,39,1524725
9,2016,39,1574571
10,2017,39,1620486
11,2018,39,1689407
12,2019,39,1727896
13,2020,39,1681719
14,2021,39,1755734
15,2022,39,1835829
16,2015,34,37015953
17,2016,34,37591996
18,2017,34,39234334
19,2018,34,40590982
20,2019,34,41260895
21,2020,34,38854186
22,2021,34,37264321
23,2022,34,38095951
24,2015,33,15338569
25,2016,33,16140531
26,2017,33,16744435
27,2018,33,17683143
28,2019,33,18231055
29,2020,33,18131628
30,2021,33,19290704
31,2022,33,19949670
