,연도,local_id,주거용,업무용,산업용
113,2015,25,1849215.0,4728122.0,2605400.0
114,2015,21,4352290.0,8385914.0,7264105.0
115,2015,11,12964825.0,30375292.0,2041365.0
116,2016,25,1899110.0,4881042.0,2599482.0
117,2016,21,4472262.0,8760626.0,7234203.0
118,2016,11,13311577.0,31251430.0,1930229.0
119,2017,25,1872890.0,4910602.0,2640312.0
120,2017,21,4473510.0,8888045.0,7645804.0
121,2017,11,13131172.0,31228879.0,1938107.0
122,2018,25,1970225.0,5128876.0,2549723.0
123,2018,21,4660700.0,9105731.0,7450174.0
124,2018,11,13766796.0,32297703.0,1745711.0
125,2019,25,1938645.551,5107237.12,2369816.688
126,2019,21,4624741.633,8866658.428,7311009.716
127,2019,11,13499067.204,32037946.86,1630192.258
128,2020,25,2019639.0,5056112.949,2329469.051
129,2020,21,4837487.0,8666639.493,6999842.507
130,2020,11,13982706.0,30292410.48,1512809.517
131,2021,25,2102655.0,5219786.0,2426179.676
132,2021,21,4974889.0,8787262.028,7305681.972
133,2021,11,14656127.0,31074389.276,1565290.724
134,2022,11,14550100.0,32705710.0,1532862.965
135,2022,21,5054430.0,9253410.0,7185808.35
136,2022,25,2142124.0,5478454.0,2396298.847
